Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
MOEADDRA,WFG7_2,HV,3,0.20487800789713936
MOEADDRA,WFG7_2,HV,4,0.20465593575811825
MOEADDRA,WFG8_2,HV,0,0.16639311027798517
MOEADDRA,WFG8_2,HV,1,0.16756425980814132
MOEADDRA,WFG8_2,HV,2,0.1698099405491628
MOEADDRA,WFG8_2,HV,3,0.1705425186665523
MOEADDRA,WFG8_2,HV,4,0.16695145310499185
MOEADDRA,WFG9_2,HV,0,0.17503904757164646
MOEADDRA,WFG9_2,HV,1,0.17511520764400093
MOEADDRA,WFG9_2,HV,2,0.17486640031136175
MOEADDRA,WFG9_2,HV,3,0.22541081880764444
MOEADDRA,WFG9_2,HV,4,0.2248341259928023
MOEADDRA,WFG1_3,HV,0,0.2564853112250016
MOEADDRA,WFG1_3,HV,1,0.2738058279047907
MOEADDRA,WFG1_3,HV,2,0.2603908724332372
MOEADDRA,WFG1_3,HV,3,0.2601698549214791
MOEADDRA,WFG1_3,HV,4,0.2594624632839051
MOEADDRA,WFG2_3,HV,0,0.8248703235893298
MOEADDRA,WFG2_3,HV,1,0.7477153108283232
MOEADDRA,WFG2_3,HV,2,0.7227440955851745
MOEADDRA,WFG2_3,HV,3,0.8558173091981575
MOEADDRA,WFG2_3,HV,4,0.8517151833233385
MOEADDRA,WFG3_3,HV,0,0.24575658890906085
MOEADDRA,WFG3_3,HV,1,0.2235790744019831
MOEADDRA,WFG3_3,HV,2,0.2409724796604955
MOEADDRA,WFG3_3,HV,3,0.22052492025648177
MOEADDRA,WFG3_3,HV,4,0.24089265168296062
MOEADDRA,WFG5_3,HV,0,0.34952243941238204
MOEADDRA,WFG5_3,HV,1,0.3423742323297521
MOEADDRA,WFG5_3,HV,2,0.33901102644644415
MOEADDRA,WFG5_3,HV,3,0.34085159541472276
MOEADDRA,WFG5_3,HV,4,0.3397632857457251
MOEADDRA,WFG4_3,HV,0,0.31960777632180953
MOEADDRA,WFG4_3,HV,1,0.3082359917195728
MOEADDRA,WFG4_3,HV,2,0.309546569246883
MOEADDRA,WFG4_3,HV,3,0.30115153834932895
MOEADDRA,WFG4_3,HV,4,0.31111482998985357
MOEADDRA,WFG6_3,HV,0,0.3209502829531333
MOEADDRA,WFG6_3,HV,1,0.32093371186589736
MOEADDRA,WFG6_3,HV,2,0.3068091380660817
MOEADDRA,WFG6_3,HV,3,0.3093133313529987
MOEADDRA,WFG6_3,HV,4,0.3077588227320509
MOEADDRA,WFG7_3,HV,0,0.3558497332316047
MOEADDRA,WFG7_3,HV,1,0.3523142543628869
MOEADDRA,WFG7_3,HV,2,0.3179009745954459
MOEADDRA,WFG7_3,HV,3,0.32184018029681083
MOEADDRA,WFG7_3,HV,4,0.30833016616929343
MOEADDRA,WFG8_3,HV,0,0.2740008559392713
MOEADDRA,WFG8_3,HV,1,0.20800814650218583
MOEADDRA,WFG8_3,HV,2,0.23550678277108944
MOEADDRA,WFG8_3,HV,3,0.2176580501579405
MOEADDRA,WFG8_3,HV,4,0.20445684872143535
MOEADDRA,WFG9_3,HV,0,0.30550364530602486
MOEADDRA,WFG9_3,HV,1,0.3055767211167065
MOEADDRA,WFG9_3,HV,2,0.29802920830127877
MOEADDRA,WFG9_3,HV,3,0.3031335915789031
MOEADDRA,WFG9_3,HV,4,0.3079122723784162
MOEADDRA,WFG1_5,HV,0,0.23260717452354118
MOEADDRA,WFG1_5,HV,1,0.2578325650620174
MOEADDRA,WFG1_5,HV,2,0.11634091959240891
MOEADDRA,WFG1_5,HV,3,0.2731500163436489
MOEADDRA,WFG1_5,HV,4,0.32802803277997633
MOEADDRA,WFG2_5,HV,0,0.8613391588021534
MOEADDRA,WFG2_5,HV,1,0.7345091837336838
MOEADDRA,WFG2_5,HV,2,0.8466399247163741
MOEADDRA,WFG2_5,HV,3,0.8542099442918566
MOEADDRA,WFG2_5,HV,4,0.8623918546370305
MOEADDRA,WFG3_5,HV,0,0.0
MOEADDRA,WFG3_5,HV,1,0.0
MOEADDRA,WFG3_5,HV,2,2.838879280967288E-4
MOEADDRA,WFG3_5,HV,3,0.0
MOEADDRA,WFG3_5,HV,4,0.0
MOEADDRA,WFG5_5,HV,0,0.5152462820639443
MOEADDRA,WFG5_5,HV,1,0.5142466009147244
